name,id,empty_slots,free_bikes,latitude,longitude,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.normal_bikes,extra.renting,extra.returning,extra.slots,extra.uid
10th & Cambie,7a19c49f486d7c0c02b3685d7b240448,21,12,49.262487,-123.114397,2023-09-21 05:01:08.937000+00:00,0,True,1695272339,12,True,True,36,0001
Yaletown-Roundhouse Station,32603a87cfca71d0f7dfa3513bad69d5,5,11,49.274566,-123.121817,2023-09-21 05:01:08.934000+00:00,2,True,1695272061,9,True,True,16,0004
Dunsmuir & Beatty,6d42fa40360f9a6b2bf641c7b8bb2862,10,16,49.279764,-123.110154,2023-09-21 05:01:08.934000+00:00,0,True,1695272185,16,True,True,26,0005
12th & Yukon (City Hall),66f873d641d448bd1572ab086665a458,12,4,49.260599,-123.113504,2023-09-21 05:01:08.936000+00:00,4,True,1695272311,0,True,True,16,0007
8th & Ash,485d4d24c803cfde829ab89699fed833,14,2,49.264215,-123.117772,2023-09-21 05:01:08.941000+00:00,0,True,1695272244,2,True,True,16,0008
Spyglass & Seawall,b07d513f87897cff7319a0e59d7e567c,12,2,49.270877,-123.115103,2023-09-21 05:01:08.942000+00:00,0,True,1695272385,2,True,True,14,0009
Stamps Landing,d1c9556d92f329703229fb3e33899a3b,6,7,49.26893,-123.11813,2023-09-21 05:01:08.959000+00:00,0,True,1695272238,7,True,True,14,0010
Ontario & Seawall,95e624191c655f50e401d280cd39a9ad,7,13,49.271721,-123.104207,2023-09-21 05:01:08.958000+00:00,0,True,1695272329,13,True,True,20,0011
Canada Place,3e112f9fe877e0003780386359060ae6,17,9,49.287214,-123.11287,2023-09-21 05:01:08.957000+00:00,0,True,1695271959,9,True,True,26,0014
Granville & Georgia,6993b3dbb0758927967592ea612a2b1e,15,3,49.282409,-123.118541,2023-09-21 05:01:08.956000+00:00,0,True,1695271843,3,True,True,20,0015
Pender & Burrard,bf8408067b0e0c963f3ff526977bcef3,22,4,49.287097,-123.118551,2023-09-21 05:01:08.954000+00:00,0,True,1695271893,4,True,True,26,0016
Marinaside & Davie,d2244f1a81d317c76cabd65e81250835,7,14,49.273471,-123.118016,2023-09-21 05:01:08.953000+00:00,4,True,1695272327,10,True,True,22,0017
Robson & Hornby,0b543fc4e694fe07a54dac48bb1b3390,12,14,49.282758,-123.122092,2023-09-21 05:01:08.963000+00:00,12,True,1695272343,2,True,True,30,0019
Hornby & Pender,fbb1d30d7f30b049873f5be5688563d4,20,2,49.28602,-123.116624,2023-09-21 05:01:08.991000+00:00,0,True,1695272043,2,True,True,22,0024
Homer & Robson (Vancouver Public Library),7181df50ee1d1a05559399211382b7c8,11,9,49.279739,-123.116251,2023-09-21 05:01:08.992000+00:00,2,True,1695272277,7,True,True,20,0025
Beatty & Robson,2ef000bc9d4650d8cc6198c4d570b19f,17,2,49.277483,-123.114279,2023-09-21 05:01:08.989000+00:00,1,True,1695271901,1,True,True,20,0026
Beatty & Nelson,b7683a86874e6300fd89f4cc0b075f57,0,14,49.275679,-123.116963,2023-09-21 05:01:08.990000+00:00,1,True,1695272374,13,True,True,14,0027
Abbott & Cordova,3367c1e1dbf73caf7c10e4c96a92f58d,10,11,49.282759,-123.106955,2023-09-21 05:01:08.854000+00:00,1,True,1695272220,10,True,True,22,0030
Comox & Denman,1d7e73b3321ebb6713774d376247d9f9,8,10,49.288444,-123.139203,2023-09-21 05:01:08.855000+00:00,3,True,1695272161,7,True,True,18,0032
Cordova & Bute,664502c28e8147615f17b8ea355f40d0,8,6,49.289124,-123.12196,2023-09-21 05:01:08.852000+00:00,1,True,1695272408,5,True,True,14,0034
Hornby & Nelson,6c24a62b5ee0a2a8014eb0dfb6d40025,12,3,49.28062,-123.12482,2023-09-21 05:01:08.852000+00:00,1,True,1695272271,2,True,True,18,0037
Helmcken & Burrard,fad9ebcf614dd1a72593a34072ff76f8,11,4,49.279938,-123.127478,2023-09-21 05:01:08.848000+00:00,2,True,1695272284,2,True,True,15,0039
Pacific & Richards,3a4131fa94946d93d3529136efd62413,4,11,49.273663,-123.127075,2023-09-21 05:01:08.867000+00:00,4,True,1695272271,7,True,True,14,0044
Chilco & Beach,25318ec3e06fae1397a3a2f645104149,6,7,49.28972,-123.144028,2023-09-21 05:01:08.869000+00:00,2,True,1695272235,5,True,True,14,0047
Comox & Broughton,444991edc9550be0908f032da5e3c95f,5,7,49.285253,-123.134356,2023-09-21 05:01:08.863000+00:00,2,True,1695272325,5,True,True,12,0048
Bute & Comox,434b6f4e7fc30198f901b60fc905f609,15,7,49.283343,-123.131099,2023-09-21 05:01:08.879000+00:00,7,True,1695272265,0,True,True,22,0050
Cambie & Water,f97d5bf41f35aa181288429fb52e3488,18,14,49.284605,-123.108662,2023-09-21 05:01:08.879000+00:00,3,True,1695272356,11,True,True,32,0052
Keefer & Abbott,fef69fb400210d861107a61db954d037,5,22,49.279821,-123.10802,2023-09-21 05:01:08.878000+00:00,2,True,1695272183,20,True,True,28,0053
Expo & Carrall,9d3123425823420514b8ad410074f02d,7,9,49.278004,-123.105664,2023-09-21 05:01:08.881000+00:00,0,True,1695272085,9,True,True,17,0054
Keefer & Columbia,f1ca711137cde59e824167a4274df888,0,13,49.279342,-123.101822,2023-09-21 05:01:08.881000+00:00,1,True,1695272408,12,True,True,14,0055
Marinaside & Cooperage,4f6ebf2026d540ffe40e29a80138ad5e,14,12,49.273833,-123.114373,2023-09-21 05:01:08.880000+00:00,3,True,1695272407,9,True,True,26,0057
Bidwell & Burnaby,be14efdc86dedd6a8cd338e78ab4e7c7,13,12,49.28526,-123.141809,2023-09-21 05:01:08.931000+00:00,1,True,1695272084,11,True,True,26,0060
Robson & Granville,6ddeafa873279951630a00191333c45d,20,8,49.281506,-123.120101,2023-09-21 05:01:08.930000+00:00,4,True,1695272143,4,True,True,30,0063
